OBJECTID,LEA_GUID,LEA_OFFICIAL,CSO_LEA,LEA_ID,COUNTY,Shape__Area,Shape__Length
104,2ae19629-3f0c-13a3-e055-000000000001,Y,LIMERICK CITY EAST,13120422,LIMERICK,125704613.622742,79487.0720570506
105,2ae19629-3f0b-13a3-e055-000000000001,Y,LIMERICK CITY NORTH,13120421,LIMERICK,21080658.5307007,24678.0368197384
106,2ae19629-3f0a-13a3-e055-000000000001,Y,LIMERICK CITY WEST,13120420,LIMERICK,78212730.4970398,56678.3396753516
107,2ae19629-3ef4-13a3-e055-000005300001,Y,LISMORE,13220402,WATERFORD,519828966.45517,180321.278907099
108,2ae19629-3f6b-13a3-e055-000000000001,Y,LISTOWEL,1370400,KERRY,815529516.604584,210929.451951319
109,2ae19629-3f0f-13a3-e055-000000000001,Y,LONGFORD,13130402,LONGFORD,171731551.502258,100672.603743688
110,2ae19629-3f4b-13a3-e055-000000000001,Y,LOUGHREA,1360403,GALWAY,932198672.980103,207800.304818135
111,c665104c-3989-4df1-aaa7-cd0488590025,N,LUCAN,13260411,DUBLIN,19998719.727478,23158.9540804465
112,2ae19629-3ef4-13a3-e055-222220000001,Y,MACROOM,1340408,CORK,1195936778.27417,243955.900836881
113,2ae19629-3ef4-13a3-e055-444440000001,Y,MALLOW,1340409,CORK,571352712.858948,170191.558497965
114,2ae19629-3f04-13a3-e055-000000000001,Y,MANORHAMILTON,13110400,LEITRIM,756209727.283508,164908.087513518
115,2ae19629-3f6f-13a3-e055-000000000001,Y,MAYNOOTH,1380400,KILDARE,164022660.813751,74815.9116407394
116,2ae19629-3f65-13a3-e055-000000000001,Y,MIDLETON,1340402,CORK,552703427.666107,192050.75277974
117,2ae19629-3f44-13a3-e055-000000000001,Y,MILFORD,1350401,DONEGAL,515697824.219574,384265.853173629
118,2ae19629-3f37-13a3-e055-000000000001,Y,MOATE,13230401,WESTMEATH,731359964.568787,204531.506920202
119,2ae19629-3f1e-13a3-e055-000000000001,Y,MONAGHAN,13170400,MONAGHAN,404888294.976624,155342.395826798
120,2ae19629-3ef4-13a3-e055-553330000001,Y,MUINEBEAG,1310402,CARLOW,418711216.165192,133474.26745517
121,2ae19629-3ef4-13a3-e055-900000000111,Y,MULLINGAR,13230403,WESTMEATH,171292841.592468,69174.1774094224
122,2ae19629-3f71-13a3-e055-000000000001,Y,NAAS,1380402,KILDARE,188255341.438934,89480.4229813935
123,2ae19629-3f1d-13a3-e055-000000000001,Y,NAVAN,13160405,MEATH,119787463.615143,61054.9937299217
124,2ae19629-3f2c-13a3-e055-000000000001,Y,NENAGH,13210400,TIPPERARY,636109994.018036,157068.081095475
125,2ae19629-3f3b-13a3-e055-000000000001,Y,NEW ROSS,13240402,WEXFORD,614778016.092834,195691.095433821
126,2ae19629-3ef4-13a3-e055-777770000001,Y,NEWBRIDGE,1380407,KILDARE,170644739.094482,81866.7051680629
127,2ae19629-3f07-13a3-e055-000000000001,Y,NEWCASTLE WEST,13120400,LIMERICK,737389404.279907,206823.976106344
128,2ae19629-3ef4-13a3-e055-662310000001,Y,NEWPORT,13210405,TIPPERARY,569462035.185242,144687.475337255
129,2ae19629-3f5c-13a3-e055-000000000001,Y,NORTH INNER CITY,13260426,DUBLIN,8839764.95266724,22841.3598785546
130,afa89310-c490-44c8-aeb2-78856be08e9b,N,ONGAR,13260418,DUBLIN,7873486.92617798,14126.1275878142
